id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
187869;82;2;1;175;175;0
187870;82;2;2;200;200;0
187871;82;2;3;170;170;0
187872;82;2;4;148;148;0
187873;82;2;5;219;219;0
187874;82;2;6;180;180;0
187875;82;2;7;156;156;0
187876;82;2;8;224;224;0
187877;82;2;9;183;183;0
187878;82;2;10;164;164;0
187879;82;2;11;191;191;0
187880;82;2;12;198;198;0
187881;82;2;13;186;186;0
187882;82;2;14;184;184;0
187883;82;2;15;202;202;0
187884;82;2;16;144;144;0
187885;82;2;17;198;198;0
187886;82;2;18;151;151;0
187887;82;2;19;178;178;0
187888;82;2;20;153;153;0
187889;82;2;21;181;181;0
187890;82;2;22;212;212;0
187891;82;2;23;156;156;0
187892;82;2;24;126;126;0
187893;82;2;25;216;216;0
187894;82;2;26;172;172;0
187895;82;2;27;208;208;0
187896;82;2;28;176;176;0
187897;82;2;29;146;146;0
187898;82;2;30;137;137;0
187899;82;2;31;160;160;0
187900;82;2;32;130;130;0
187901;82;2;33;225;225;0
187902;82;2;34;200;200;0
187903;82;2;35;96;96;0
187904;82;2;36;177;177;0
187905;82;2;37;193;193;0
187906;82;2;38;205;205;0
187907;82;2;39;208;208;0
187908;82;2;40;222;222;0
187909;82;2;41;130;130;0
187910;82;2;42;191;191;0
187911;82;2;43;201;201;0
187912;82;2;44;173;173;0
187913;82;2;45;155;155;0
187914;82;2;46;144;144;0
187915;82;2;47;199;199;0
187916;82;2;48;215;215;0
187917;82;2;49;188;188;0
187918;82;2;50;172;171;1
187919;82;3;51;284;284;0
187920;82;3;52;239;239;0
187921;82;3;53;263;263;0
187922;82;3;54;289;289;0
187923;82;3;55;293;289;4
187924;82;3;56;260;260;0
187925;82;3;57;293;293;0
187926;82;3;58;273;273;0
187927;82;3;59;202;202;0
187928;82;3;60;260;260;0
187929;82;3;61;307;307;0
187930;82;3;62;245;245;0
187931;82;3;63;261;261;0
187932;82;3;64;262;262;0
187933;82;3;65;228;226;2
187934;82;3;66;209;207;2
187935;82;3;67;205;205;0
187936;82;3;68;238;238;0
187937;82;3;69;319;319;0
187938;82;3;70;237;237;0
187939;82;3;71;261;261;0
187940;82;3;72;289;289;0
187941;82;3;73;231;231;0
187942;82;3;74;264;262;2
187943;82;3;75;311;311;0
187944;82;3;76;197;197;0
187945;82;3;77;230;230;0
187946;82;3;78;172;172;0
187947;82;3;79;312;312;0
187948;82;3;80;274;270;4
187949;82;3;81;285;285;0
187950;82;3;82;237;237;0
187951;82;3;83;312;312;0
187952;82;3;84;282;282;0
187953;82;3;85;332;332;0
187954;82;3;86;266;266;0
187955;82;3;87;274;274;0
187956;82;3;88;255;255;0
187957;82;3;89;278;277;1
187958;82;3;90;297;297;0
187959;82;3;91;200;200;0
187960;82;3;92;258;258;0
187961;82;3;93;250;250;0
187962;82;3;94;246;246;0
187963;82;3;95;287;287;0
187964;82;3;96;259;259;0
187965;82;3;97;335;335;0
187966;82;3;98;301;301;0
187967;82;3;99;254;254;0
187968;82;3;100;301;299;2
187969;82;4;101;354;354;0
187970;82;4;102;284;284;0
187971;82;4;103;291;289;2
187972;82;4;104;388;388;0
187973;82;4;105;387;384;3
187974;82;4;106;341;337;4
187975;82;4;107;335;335;0
187976;82;4;108;237;237;0
187977;82;4;109;367;367;0
187978;82;4;110;384;382;2
187979;82;4;111;373;372;1
187980;82;4;112;409;406;3
187981;82;4;113;452;450;2
187982;82;4;114;291;289;2
187983;82;4;115;354;353;1
187984;82;4;116;358;358;0
187985;82;4;117;224;224;0
187986;82;4;118;261;261;0
187987;82;4;119;329;329;0
187988;82;4;120;345;343;2
187989;82;4;121;335;335;0
187990;82;4;122;366;366;0
187991;82;4;123;360;359;1
187992;82;4;124;375;375;0
187993;82;4;125;375;373;2
187994;82;4;126;403;402;1
187995;82;4;127;313;311;2
187996;82;4;128;361;361;0
187997;82;4;129;364;362;2
187998;82;4;130;320;319;1
187999;82;4;131;362;360;2
188000;82;4;132;383;383;0
188001;82;4;133;327;324;3
188002;82;4;134;312;312;0
188003;82;4;135;395;394;1
188004;82;4;136;381;381;0
188005;82;4;137;363;363;0
188006;82;4;138;364;364;0
188007;82;4;139;429;428;1
188008;82;4;140;359;359;0
188009;82;4;141;416;416;0
