id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
192269;71;2;1;252;252;0
192270;71;2;2;256;256;0
192271;71;2;3;232;232;0
192272;71;2;4;266;266;0
192273;71;2;5;234;234;0
192274;71;2;6;259;259;0
192275;71;2;7;258;258;0
192276;71;2;8;250;250;0
192277;71;2;9;234;234;0
192278;71;2;10;241;241;0
192279;71;2;11;248;248;0
192280;71;2;12;245;245;0
192281;71;2;13;281;281;0
192282;71;2;14;238;238;0
192283;71;2;15;245;245;0
192284;71;2;16;256;256;0
192285;71;2;17;225;225;0
192286;71;2;18;243;243;0
192287;71;2;19;248;248;0
192288;71;2;20;289;289;0
192289;71;2;21;263;263;0
192290;71;2;22;287;287;0
192291;71;2;23;285;285;0
192292;71;2;24;247;247;0
192293;71;2;25;266;266;0
192294;71;2;26;294;294;0
192295;71;2;27;245;245;0
192296;71;2;28;270;270;0
192297;71;2;29;223;223;0
192298;71;2;30;282;282;0
192299;71;2;31;223;223;0
192300;71;2;32;244;244;0
192301;71;2;33;247;247;0
192302;71;2;34;249;249;0
192303;71;2;35;292;292;0
192304;71;2;36;258;258;0
192305;71;2;37;279;279;0
192306;71;2;38;290;290;0
192307;71;2;39;268;268;0
192308;71;2;40;237;237;0
192309;71;2;41;265;265;0
192310;71;2;42;235;235;0
192311;71;2;43;252;252;0
192312;71;2;44;233;233;0
192313;71;2;45;244;244;0
192314;71;2;46;296;296;0
192315;71;2;47;263;263;0
192316;71;2;48;262;262;0
192317;71;2;49;229;229;0
192318;71;2;50;280;279;1
192319;71;3;51;387;387;0
192320;71;3;52;388;388;0
192321;71;3;53;435;435;0
192322;71;3;54;423;422;1
192323;71;3;55;370;370;0
192324;71;3;56;376;373;3
192325;71;3;57;343;343;0
192326;71;3;58;384;384;0
192327;71;3;59;403;403;0
192328;71;3;60;334;334;0
192329;71;3;61;392;392;0
192330;71;3;62;372;372;0
192331;71;3;63;362;362;0
192332;71;3;64;378;378;0
192333;71;3;65;462;462;0
192334;71;3;66;400;396;4
192335;71;3;67;441;441;0
192336;71;3;68;412;412;0
192337;71;3;69;388;388;0
192338;71;3;70;387;387;0
192339;71;3;71;373;372;1
192340;71;3;72;355;355;0
192341;71;3;73;366;366;0
192342;71;3;74;359;359;0
192343;71;3;75;350;349;1
192344;71;3;76;408;408;0
192345;71;3;77;350;350;0
192346;71;3;78;361;361;0
192347;71;3;79;388;388;0
192348;71;3;80;353;352;1
192349;71;3;81;400;398;2
192350;71;3;82;394;394;0
192351;71;3;83;324;324;0
192352;71;3;84;405;405;0
192353;71;3;85;380;380;0
192354;71;3;86;371;371;0
192355;71;3;87;350;350;0
192356;71;3;88;334;334;0
192357;71;3;89;412;412;0
192358;71;3;90;335;335;0
192359;71;3;91;334;334;0
192360;71;3;92;303;303;0
192361;71;3;93;405;405;0
192362;71;3;94;392;392;0
