id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
180719;70;2;1;178;178;0
180720;70;2;2;174;174;0
180721;70;2;3;133;133;0
180722;70;2;4;180;180;0
180723;70;2;5;178;178;0
180724;70;2;6;191;191;0
180725;70;2;7;211;211;0
180726;70;2;8;183;183;0
180727;70;2;9;151;151;0
180728;70;2;10;156;156;0
180729;70;2;11;177;177;0
180730;70;2;12;207;207;0
180731;70;2;13;221;221;0
180732;70;2;14;170;170;0
180733;70;2;15;189;189;0
180734;70;2;16;180;180;0
180735;70;2;17;211;211;0
180736;70;2;18;177;177;0
180737;70;2;19;181;181;0
180738;70;2;20;177;177;0
180739;70;2;21;207;207;0
180740;70;2;22;190;190;0
180741;70;2;23;191;191;0
180742;70;2;24;158;158;0
180743;70;2;25;183;183;0
180744;70;2;26;164;164;0
180745;70;2;27;210;210;0
180746;70;2;28;201;201;0
180747;70;2;29;202;202;0
180748;70;2;30;237;237;0
180749;70;2;31;177;177;0
180750;70;2;32;162;162;0
180751;70;2;33;172;172;0
180752;70;2;34;157;157;0
180753;70;2;35;202;202;0
180754;70;2;36;207;207;0
180755;70;2;37;195;195;0
180756;70;2;38;227;227;0
180757;70;2;39;200;200;0
180758;70;2;40;211;211;0
180759;70;2;41;141;141;0
180760;70;2;42;188;188;0
180761;70;2;43;187;187;0
180762;70;2;44;183;183;0
180763;70;2;45;197;197;0
180764;70;2;46;220;220;0
180765;70;2;47;209;209;0
180767;70;2;49;195;195;0
180768;70;2;50;229;229;0
180769;70;3;51;254;254;0
180770;70;3;52;321;321;0
180772;70;3;54;284;284;0
180773;70;3;55;292;292;0
180774;70;3;56;273;273;0
180775;70;3;57;286;286;0
180776;70;3;58;268;268;0
180777;70;3;59;322;322;0
180778;70;3;60;257;257;0
180779;70;3;61;259;259;0
180780;70;3;62;329;329;0
180781;70;3;63;271;271;0
180782;70;3;64;256;256;0
180783;70;3;65;281;281;0
180784;70;3;66;281;281;0
180785;70;3;67;260;260;0
180786;70;3;68;326;326;0
180787;70;3;69;294;294;0
180788;70;3;70;261;261;0
180789;70;3;71;264;264;0
180790;70;3;72;313;313;0
180791;70;3;73;207;207;0
180792;70;3;74;307;307;0
180793;70;3;75;246;246;0
180794;70;3;76;245;245;0
180795;70;3;77;302;302;0
180796;70;3;78;279;279;0
180797;70;3;79;290;290;0
180798;70;3;80;284;284;0
180799;70;3;81;245;245;0
180800;70;3;82;251;251;0
180801;70;3;83;288;288;0
180802;70;3;84;327;327;0
180803;70;3;85;294;294;0
180804;70;3;86;270;270;0
180805;70;3;87;262;262;0
180806;70;3;88;239;239;0
180807;70;3;89;320;320;0
180808;70;3;90;305;305;0
180810;70;3;92;291;291;0
180811;70;3;93;322;322;0
180812;70;3;94;298;298;0
180813;70;3;95;221;221;0
180814;70;3;96;296;296;0
180815;70;3;97;338;338;0
180816;70;3;98;284;284;0
180817;70;3;99;238;238;0
180818;70;3;100;273;273;0
180819;70;4;101;346;346;0
180820;70;4;102;402;402;0
180821;70;4;103;320;320;0
180822;70;4;104;372;372;0
180823;70;4;105;373;373;0
180824;70;4;106;345;345;0
180825;70;4;107;355;355;0
180826;70;4;108;364;364;0
180829;70;4;111;365;365;0
180830;70;4;112;373;373;0
180831;70;4;113;339;339;0
180832;70;4;114;365;365;0
180833;70;4;115;363;363;0
180834;70;4;116;340;340;0
180835;70;4;117;413;413;0
180836;70;4;118;380;380;0
180837;70;4;119;368;368;0
180838;70;4;120;348;348;0
180839;70;4;121;376;376;0
180840;70;4;122;376;376;0
180841;70;4;123;379;379;0
180842;70;4;124;290;290;0
180843;70;4;125;390;390;0
180844;70;4;126;404;404;0
180845;70;4;127;403;403;0
180847;70;4;129;357;357;0
180848;70;4;130;359;359;0
180849;70;4;131;388;388;0
180850;70;4;132;421;421;0
180851;70;4;133;333;333;0
180852;70;4;134;361;361;0
180853;70;4;135;365;365;0
180854;70;4;136;372;372;0
180855;70;4;137;351;351;0
180856;70;4;138;384;384;0
180857;70;4;139;333;333;0
180858;70;4;140;441;441;0
180859;70;4;141;396;396;0
180860;70;4;142;365;365;0
180861;70;4;143;344;344;0
180862;70;4;144;408;408;0
180863;70;4;145;366;366;0
180865;70;4;147;352;352;0
180866;70;4;148;462;462;0
180867;70;4;149;358;358;0
180868;70;4;150;318;318;0
180869;70;5;151;466;466;0
180870;70;5;152;448;448;0
180871;70;5;153;438;438;0
180872;70;5;154;424;424;0
180873;70;5;155;446;446;0
180874;70;5;156;496;496;0
180875;70;5;157;425;425;0
180876;70;5;158;498;498;0
180877;70;5;159;513;513;0
180878;70;5;160;495;495;0
180879;70;5;161;477;477;0
180880;70;5;162;459;459;0
180881;70;5;163;462;462;0
180883;70;5;165;457;457;0
180884;70;5;166;462;462;0
180885;70;5;167;504;504;0
180886;70;5;168;468;468;0
180887;70;5;169;430;430;0
180888;70;5;170;442;442;0
180889;70;5;171;530;530;0
180891;70;5;173;451;451;0
180892;70;5;174;489;489;0
180893;70;5;175;468;468;0
180895;70;5;177;483;483;0
180899;70;5;181;442;442;0
180900;70;5;182;451;451;0
180901;70;5;183;452;452;0
180902;70;5;184;490;490;0
180903;70;5;185;445;445;0
180904;70;5;186;478;478;0
180905;70;5;187;517;517;0
180906;70;5;188;491;491;0
180907;70;5;189;455;455;0
180908;70;5;190;516;516;0
180909;70;5;191;423;423;0
180910;70;5;192;428;428;0
180911;70;5;193;406;406;0
180914;70;5;196;478;478;0
180915;70;5;197;443;443;0
180917;70;5;199;365;365;0
180918;70;5;200;501;501;0
180922;70;6;204;575;575;0
180927;70;6;209;563;563;0
180932;70;6;214;543;543;0
180934;70;6;216;554;554;0
180936;70;6;218;527;527;0
180939;70;6;221;508;508;0
180940;70;6;222;558;558;0
180942;70;6;224;535;535;0
180943;70;6;225;564;564;0
180944;70;6;226;550;550;0
180946;70;6;228;568;568;0
180947;70;6;229;519;519;0
180948;70;6;230;551;551;0
180949;70;6;231;507;507;0
180951;70;6;233;558;558;0
180953;70;6;235;604;604;0
180955;70;6;237;537;537;0
180956;70;6;238;649;649;0
180958;70;6;240;534;534;0
180959;70;6;241;533;533;0
180961;70;6;243;651;651;0
180962;70;6;244;581;581;0
180964;70;6;246;526;526;0
180965;70;6;247;552;552;0
180968;70;6;250;509;509;0
180970;70;7;252;641;641;0
180971;70;7;253;605;605;0
180974;70;7;256;614;614;0
180978;70;7;260;647;647;0
180979;70;7;261;546;546;0
180980;70;7;262;727;727;0
180981;70;7;263;650;650;0
180986;70;7;268;606;606;0
180988;70;7;270;614;614;0
180991;70;7;273;639;639;0
180996;70;7;278;659;659;0
180998;70;7;280;664;664;0
181000;70;7;282;690;690;0
181009;70;7;291;738;738;0
181014;70;7;296;657;657;0
181023;70;8;305;726;726;0
181025;70;8;307;804;804;0
181029;70;8;311;758;758;0
181037;70;8;319;679;679;0
181043;70;8;325;866;866;0
181048;70;8;330;709;709;0
181054;70;8;336;624;624;0
181057;70;8;339;742;742;0
181064;70;8;346;704;704;0
181068;70;8;350;716;716;0
181076;70;9;358;881;881;0
181082;70;9;364;752;752;0
181093;70;9;375;873;873;0
181111;70;9;393;783;783;0
181131;70;10;413;972;972;0
181181;70;11;463;1001;1001;0
181204;70;11;486;1058;1058;0
180827;70;4;109;438;437;1
180846;70;4;128;430;429;1
180916;70;5;198;482;481;1
180977;70;7;259;596;595;1
181003;70;7;285;682;681;1
180809;70;3;91;268;266;2
180864;70;4;146;322;320;2
181021;70;8;303;774;772;2
180771;70;3;53;338;335;3
180882;70;5;164;491;487;4
