id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
185119;81;2;1;292;292;0
185120;81;2;2;338;334;4
185121;81;2;3;314;314;0
185122;81;2;4;289;289;0
185123;81;2;5;360;360;0
185124;81;2;6;271;271;0
185125;81;2;7;356;356;0
185126;81;2;8;338;338;0
185127;81;2;9;383;383;0
185128;81;2;10;326;326;0
185129;81;2;11;331;331;0
185130;81;2;12;341;335;6
185131;81;2;13;312;312;0
185132;81;2;14;353;353;0
185133;81;2;15;302;298;4
185134;81;2;16;292;292;0
185135;81;2;17;313;313;0
185136;81;2;18;336;336;0
185137;81;2;19;300;300;0
185138;81;2;20;331;331;0
185139;81;2;21;184;184;0
185140;81;2;22;300;300;0
185141;81;2;23;351;351;0
185142;81;2;24;273;273;0
185143;81;2;25;385;385;0
185144;81;2;26;369;369;0
185145;81;2;27;313;313;0
185146;81;2;28;311;311;0
185147;81;2;29;322;322;0
185148;81;2;30;364;364;0
185149;81;2;31;341;341;0
185150;81;2;32;263;263;0
185151;81;2;33;287;287;0
185152;81;2;34;292;292;0
185153;81;2;35;324;322;2
185154;81;2;36;361;361;0
185155;81;2;37;322;322;0
185156;81;2;38;294;294;0
185157;81;2;39;342;342;0
185158;81;2;40;244;244;0
185159;81;2;41;291;291;0
185160;81;2;42;360;360;0
185161;81;2;43;315;313;2
185162;81;2;44;368;368;0
185163;81;2;45;290;290;0
185164;81;2;46;319;319;0
185165;81;2;47;358;358;0
185166;81;2;48;302;302;0
185167;81;2;49;260;260;0
185168;81;2;50;388;385;3
185169;81;3;51;478;478;0
185170;81;3;52;516;516;0
185171;81;3;53;456;456;0
185172;81;3;54;488;488;0
185173;81;3;55;362;362;0
185174;81;3;56;452;452;0
185175;81;3;57;510;510;0
185176;81;3;58;348;348;0
185177;81;3;59;489;489;0
185178;81;3;60;542;542;0
185179;81;3;61;527;527;0
185180;81;3;62;450;450;0
185181;81;3;63;460;460;0
185183;81;3;65;511;509;2
185185;81;3;67;459;459;0
185188;81;3;70;559;559;0
185189;81;3;71;480;479;1
185190;81;3;72;516;516;0
185191;81;3;73;373;373;0
185192;81;3;74;377;377;0
185193;81;3;75;543;543;0
185194;81;3;76;396;396;0
185196;81;3;78;557;555;2
185197;81;3;79;482;482;0
185198;81;3;80;427;427;0
185199;81;3;81;561;559;2
185200;81;3;82;514;514;0
185201;81;3;83;470;470;0
185202;81;3;84;454;454;0
185204;81;3;86;496;496;0
185205;81;3;87;469;469;0
185206;81;3;88;397;397;0
185207;81;3;89;400;400;0
185208;81;3;90;496;494;2
185209;81;3;91;424;424;0
185210;81;3;92;410;410;0
185211;81;3;93;525;525;0
185212;81;3;94;358;358;0
185213;81;3;95;529;529;0
185215;81;3;97;473;463;10
185216;81;3;98;438;438;0
185218;81;3;100;399;399;0
185220;81;4;102;681;680;1
185222;81;4;104;585;585;0
185225;81;4;107;609;604;5
185226;81;4;108;561;561;0
185227;81;4;109;608;608;0
185228;81;4;110;532;532;0
185229;81;4;111;563;563;0
185230;81;4;112;551;551;0
185231;81;4;113;720;720;0
185232;81;4;114;541;541;0
185234;81;4;116;577;575;2
185236;81;4;118;607;607;0
185240;81;4;122;635;631;4
185241;81;4;123;533;533;0
185242;81;4;124;660;660;0
185243;81;4;125;665;665;0
185244;81;4;126;614;614;0
185252;81;4;134;536;536;0
185253;81;4;135;504;504;0
185255;81;4;137;652;652;0
185256;81;4;138;703;699;4
185258;81;4;140;579;579;0
185259;81;4;141;672;672;0
185260;81;4;142;749;749;0
185262;81;4;144;553;553;0
185263;81;4;145;657;657;0
185266;81;4;148;708;708;0
185282;81;5;164;799;799;0
185288;81;5;170;834;834;0
185293;81;5;175;731;731;0
185294;81;5;176;790;788;2
185295;81;5;177;764;763;1
185300;81;5;182;710;710;0
185305;81;5;187;675;672;3
185308;81;5;190;732;732;0
185316;81;5;198;851;851;0
185317;81;5;199;697;697;0
185337;81;6;219;873;873;0
