id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
187269;81;2;1;292;292;0
187270;81;2;2;338;334;4
187271;81;2;3;314;314;0
187272;81;2;4;289;289;0
187273;81;2;5;360;360;0
187274;81;2;6;271;271;0
187275;81;2;7;356;356;0
187276;81;2;8;338;338;0
187277;81;2;9;383;383;0
187278;81;2;10;326;326;0
187279;81;2;11;331;331;0
187280;81;2;12;341;335;6
187281;81;2;13;312;312;0
187282;81;2;14;353;353;0
187283;81;2;15;302;298;4
187284;81;2;16;292;292;0
187285;81;2;17;313;313;0
187286;81;2;18;336;336;0
187287;81;2;19;300;300;0
187288;81;2;20;331;331;0
187289;81;2;21;184;184;0
187290;81;2;22;300;300;0
187291;81;2;23;351;351;0
187292;81;2;24;273;273;0
187293;81;2;25;385;385;0
187294;81;2;26;369;369;0
187295;81;2;27;313;313;0
187296;81;2;28;311;311;0
187297;81;2;29;322;322;0
187298;81;2;30;364;364;0
187299;81;2;31;341;341;0
187300;81;2;32;263;263;0
187301;81;2;33;287;287;0
187302;81;2;34;292;292;0
187303;81;2;35;324;322;2
187304;81;2;36;361;361;0
187305;81;2;37;322;322;0
187306;81;2;38;294;294;0
187307;81;2;39;342;342;0
187308;81;2;40;244;244;0
187309;81;2;41;291;291;0
187310;81;2;42;360;360;0
187311;81;2;43;315;313;2
187312;81;2;44;368;368;0
187313;81;2;45;290;290;0
187314;81;2;46;319;319;0
187315;81;2;47;358;358;0
187316;81;2;48;302;302;0
187317;81;2;49;260;260;0
187318;81;2;50;388;385;3
187319;81;3;51;478;478;0
187320;81;3;52;516;516;0
187321;81;3;53;456;456;0
187322;81;3;54;491;488;3
187323;81;3;55;362;362;0
187324;81;3;56;458;452;6
187325;81;3;57;510;510;0
187326;81;3;58;348;348;0
187327;81;3;59;489;489;0
187328;81;3;60;542;542;0
187329;81;3;61;530;527;3
187330;81;3;62;450;450;0
187331;81;3;63;460;460;0
187332;81;3;64;550;526;24
187333;81;3;65;511;509;2
187334;81;3;66;439;431;8
187335;81;3;67;459;459;0
187338;81;3;70;559;559;0
187339;81;3;71;480;479;1
187340;81;3;72;516;516;0
187341;81;3;73;373;373;0
187342;81;3;74;377;377;0
187343;81;3;75;547;543;4
187344;81;3;76;396;396;0
187345;81;3;77;458;448;10
187346;81;3;78;558;555;3
187347;81;3;79;482;482;0
187348;81;3;80;427;427;0
187349;81;3;81;561;559;2
187350;81;3;82;514;514;0
187351;81;3;83;470;470;0
187352;81;3;84;454;454;0
187354;81;3;86;497;496;1
187355;81;3;87;469;469;0
187356;81;3;88;397;397;0
187357;81;3;89;400;400;0
187358;81;3;90;496;494;2
187359;81;3;91;424;424;0
187360;81;3;92;410;410;0
187361;81;3;93;525;525;0
187362;81;3;94;358;358;0
187363;81;3;95;529;529;0
187364;81;3;96;531;527;4
187365;81;3;97;473;463;10
187366;81;3;98;438;438;0
187367;81;3;99;487;475;12
187368;81;3;100;399;399;0
187370;81;4;102;681;680;1
187371;81;4;103;661;650;11
187372;81;4;104;591;585;6
187375;81;4;107;609;604;5
187376;81;4;108;561;561;0
187377;81;4;109;608;608;0
187378;81;4;110;532;532;0
187379;81;4;111;563;563;0
187380;81;4;112;551;551;0
187381;81;4;113;720;720;0
187382;81;4;114;541;541;0
187383;81;4;115;655;643;12
187384;81;4;116;578;575;3
187386;81;4;118;607;607;0
187388;81;4;120;672;670;2
187390;81;4;122;637;631;6
187391;81;4;123;534;533;1
187392;81;4;124;660;660;0
187393;81;4;125;665;665;0
187394;81;4;126;614;614;0
187395;81;4;127;671;671;0
187397;81;4;129;679;672;7
187398;81;4;130;585;575;10
187399;81;4;131;668;664;4
187402;81;4;134;539;536;3
187403;81;4;135;504;504;0
187404;81;4;136;644;636;8
187405;81;4;137;656;652;4
187406;81;4;138;703;699;4
187408;81;4;140;579;579;0
187409;81;4;141;672;672;0
187410;81;4;142;749;749;0
187411;81;4;143;707;697;10
187412;81;4;144;553;553;0
187413;81;4;145;657;657;0
187415;81;4;147;752;722;30
187416;81;4;148;709;708;1
187417;81;4;149;613;607;6
187418;81;4;150;647;637;10
187419;81;5;151;738;731;7
187420;81;5;152;766;757;9
187425;81;5;157;893;881;12
187430;81;5;162;696;693;3
187432;81;5;164;800;799;1
187433;81;5;165;683;677;6
187438;81;5;170;846;834;12
187441;81;5;173;785;781;4
187442;81;5;174;775;756;19
187443;81;5;175;731;731;0
187444;81;5;176;790;788;2
187445;81;5;177;768;763;5
187448;81;5;180;762;748;14
187450;81;5;182;710;710;0
187452;81;5;184;674;674;0
187455;81;5;187;675;672;3
187458;81;5;190;732;732;0
187459;81;5;191;793;785;8
187460;81;5;192;801;789;12
187466;81;5;198;852;851;1
187467;81;5;199;697;697;0
187468;81;5;200;805;791;14
187473;81;6;205;911;901;10
187477;81;6;209;858;855;3
187480;81;6;212;946;939;7
187485;81;6;217;1042;1042;0
187486;81;6;218;932;932;0
187487;81;6;219;873;873;0
187488;81;6;220;1028;1019;9
187494;81;6;226;917;904;13
187502;81;6;234;1023;1019;4
187504;81;6;236;957;941;16
187515;81;6;247;974;974;0
187518;81;6;250;996;986;10
187527;81;7;259;1352;1342;10
187554;81;7;286;984;984;0
187560;81;7;292;968;968;0
187568;81;7;300;1115;1108;7
187598;81;8;330;1199;1196;3
