id;benchmark_id;agents;seed;cost;opt_cost;opt_diff
185719;79;2;1;199;199;0
185720;79;2;2;187;187;0
185721;79;2;3;185;185;0
185722;79;2;4;158;158;0
185723;79;2;5;175;175;0
185724;79;2;6;167;167;0
185725;79;2;7;199;199;0
185726;79;2;8;182;182;0
185727;79;2;9;183;183;0
185728;79;2;10;186;186;0
185729;79;2;11;171;171;0
185730;79;2;12;213;213;0
185731;79;2;13;188;188;0
185732;79;2;14;169;169;0
185733;79;2;15;170;170;0
185734;79;2;16;166;166;0
185735;79;2;17;175;175;0
185736;79;2;18;187;187;0
185737;79;2;19;195;195;0
185738;79;2;20;201;201;0
185739;79;2;21;178;178;0
185740;79;2;22;182;182;0
185741;79;2;23;165;165;0
185742;79;2;24;202;202;0
185743;79;2;25;189;189;0
185744;79;2;26;200;200;0
185745;79;2;27;140;140;0
185746;79;2;28;156;156;0
185747;79;2;29;162;162;0
185748;79;2;30;207;207;0
185749;79;2;31;183;183;0
185750;79;2;32;212;212;0
185751;79;2;33;185;185;0
185752;79;2;34;195;195;0
185753;79;2;35;200;200;0
185754;79;2;36;206;206;0
185755;79;2;37;181;181;0
185756;79;2;38;184;184;0
185757;79;2;39;197;197;0
185758;79;2;40;189;189;0
185759;79;2;41;164;164;0
185760;79;2;42;157;157;0
185761;79;2;43;192;192;0
185762;79;2;44;167;167;0
185763;79;2;45;184;184;0
185764;79;2;46;186;186;0
185765;79;2;47;191;191;0
185766;79;2;48;172;172;0
185767;79;2;49;146;146;0
185768;79;2;50;190;190;0
185769;79;3;51;285;285;0
185770;79;3;52;252;252;0
185771;79;3;53;282;282;0
185772;79;3;54;294;294;0
185773;79;3;55;252;252;0
185774;79;3;56;284;283;1
185775;79;3;57;270;270;0
185776;79;3;58;287;287;0
185777;79;3;59;249;249;0
185778;79;3;60;274;273;1
185779;79;3;61;239;239;0
185780;79;3;62;230;230;0
185781;79;3;63;302;302;0
185782;79;3;64;282;282;0
185783;79;3;65;259;259;0
185784;79;3;66;287;287;0
185785;79;3;67;271;271;0
185786;79;3;68;294;293;1
185787;79;3;69;283;283;0
185788;79;3;70;257;257;0
185789;79;3;71;301;301;0
185790;79;3;72;308;307;1
185791;79;3;73;236;236;0
185792;79;3;74;268;268;0
185793;79;3;75;230;230;0
185794;79;3;76;231;231;0
185795;79;3;77;278;278;0
185796;79;3;78;241;241;0
185797;79;3;79;282;282;0
185798;79;3;80;290;290;0
185799;79;3;81;284;284;0
185800;79;3;82;266;266;0
185801;79;3;83;298;298;0
185802;79;3;84;297;297;0
185803;79;3;85;281;281;0
185804;79;3;86;267;267;0
185805;79;3;87;281;281;0
185806;79;3;88;259;257;2
185807;79;3;89;290;290;0
185808;79;3;90;259;259;0
185809;79;3;91;298;298;0
185810;79;3;92;305;305;0
185811;79;3;93;299;297;2
185812;79;3;94;278;278;0
185813;79;3;95;305;303;2
185814;79;3;96;270;270;0
185815;79;3;97;327;327;0
185816;79;3;98;299;299;0
185817;79;3;99;316;316;0
185818;79;3;100;261;261;0
185819;79;4;101;356;356;0
185820;79;4;102;368;368;0
185821;79;4;103;351;351;0
185822;79;4;104;380;380;0
185823;79;4;105;403;403;0
185824;79;4;106;366;366;0
185825;79;4;107;325;325;0
185826;79;4;108;364;361;3
185827;79;4;109;336;336;0
185828;79;4;110;354;354;0
185829;79;4;111;415;413;2
185830;79;4;112;413;413;0
185831;79;4;113;344;344;0
185832;79;4;114;422;421;1
185833;79;4;115;352;352;0
185834;79;4;116;366;366;0
185835;79;4;117;407;407;0
185837;79;4;119;410;410;0
185838;79;4;120;376;376;0
185839;79;4;121;409;408;1
185840;79;4;122;368;368;0
185841;79;4;123;376;376;0
185842;79;4;124;337;336;1
185843;79;4;125;323;321;2
185844;79;4;126;376;376;0
185845;79;4;127;360;360;0
